wikidata_id	count
ambassador to Tuvalu	3
ambassador to Kosovo	3
ambassador to Barbados	3
skateboarder	3
Permanent Representative to the Council of Europe	3
Permanent Representative to the OECD	3
unidentified decedent	3
police officer	3
Finnish expatriate	3
skier	3
ambassador of Libya	3
ambassador of Monaco	3
ambassador of Guyana	3
Cambodian ambassador	3
ambassador of Eritrea	3
ambassador of Moldova	3
ambassador of Mauritania	3
ambassador of Bosnia and Herzegovina	3
ambassador of the Bahamas	3
ambassador of Liberia	3
ambassador of South Sudan	3
Gambian ambassador	3
ambassador of Fiji	3
ambassador of Madagascar	3
ambassador of Oman	3
Native Indonesians	3
suku bangsa di Indonesia	3
space tourist	3
police commissioner	3
ambassador of Iraq	3
mayor	3
chief of police	3
ambassador to Bhutan	3
Ambassador to the Maldives	3
health minister	3
Indigenous peoples of California	3
Quranic character	3
consul general	3
missing person	3
consejero autonómico	3
art name	3
fraternal twin	3
Atrebates	3
Devi	3
Wikimedia human name disambiguation page	3
Protected Jew	3
parament workshop	3
missionary kid	3
feature	3
cathedral preacher	3
Biblical narratives and the Quran	3
legend	3
hibakusha	3
Book of Mormon character	3
water deity	3
daimyo	3
holder of a patent	3
video game developer	3
child	3
noble family	3
bookstore	3
veteran	3
work of art	3
Hispanic and Latino Americans	3
prosecutor	3
財政部長	3
ambassador to the German Reich	2
Greeks	2
ambassador of Mauritius	2
High Commissioner of Mozambique	2
Ambassador of the Imperial China	2
alt comissionat del Canadà	2
ambassador of Myanmar	2
ambassador of Honduras	2
ambassador of Guinea	2
ambassador of Tonga	2
third-order class	2
honorary consul	2
minister of state of El Salvador	2
Amerindian literature in North America	2
ambassador of the king of Aragon	2
ambassador to the king of Castile	2
Ambassador of the King of Castile	2
ambassador to the Tsardom of Russia	2
ambassador of the Republic of China (1912-1949)	2
Female condemned criminal	2
supercentenário	2
blessed	2
French	2
ambassador	2
head of mission	2
director	2
isolated human group	2
diaspora	2
Self-Defense Official	2
ambassador to South Vietnam	2
ambassador to South Yemen	2
ambassador to North Yemen	2
block elder	2
chairperson	2
Ministry of Government	2
fictional child	2
Italian diaspora	2
data protection authority	2
nurse	2
live person	2
ambassador to the Grand Duchy of Tuscany	2
ambassador to Prussia	2
ambassador to Zaire	2
Inuit	2
diplomat	2
ambassador of Czechoslovakia	2
ambassador of the Republic of the Congo	2
ambassador of Malawi	2
ambassador of the Comoros	2
ambassador of Gabon	2
ambassador of Paraguay	2
ambassador of Bulgaria	2
ambassador of Djibouti	2
ambassador of North Macedonia	2
ambassador of Nauru	2
ambassador of Chad	2
ambassador of Uzbekistan	2
ambassador of Brunei	2
ambassador of Seychelles	2
ambassador of Malta	2
ambassador of the Kingdom of Great Britain	2
neighbour	2
rank in the Polish Police	2
somali ambassador	2
chief of army staff position	2
minister of culture	2
concubine	2
ambassador to the Republic of Venice	2
member of the supreme collegiate body of executive power	2
ambassador of West Germany	2
ambassador of Latvia	2
ambassador of Mongolia	2
ambassador of the United Arab Emirates	2
ambassador of Costa Rica	2
indigenous peoples of Mexico	2
gay men	2
military rank	2
education minister	2
role	2
God	2
title	2
Indigenous peoples in Canada	2
victim	2
nonprofit organization	2
xian	2
avatar	2
citizenship	2
Tokyo Cheer2 Party	2
association	2
possibly disproven person	2
dummy	2
two persons with the same name or a similar name	2
Twitter feed	2
club	2
contemporary witness	2
place of birth	2
human remains (archaeology)	2
VTuber	2
given name	2
German folklore	2
house name	2
kin	2
criminal case	2
trademark	2
cadaver	2
anthropomorphic character	2
taxon	2
article	2
political party	2
Rangatira	2
Irish mythical character	2
film	2
public company	2
girl group	2
Kumari	2
Jewish people	2
personal name	2
archaeological site	2
mother	2
Americans	2
co-founder	2
original	2
marital status	2
company	2
folk saint	2
group	2
Heroes	2
height	2
mythical creature	2
transgender person	2
revue médicale	2
Wikimedia hoax	2
Taoist deity	2
nobility	2
single	2
Pythian games winner	2
heteronímia	2
identical twins	2
tutelary	2
honor killing victim	2
Prisoner functionary	2
major general	2
trial	2
alter ego	2
ritual	2
graf	2
duplicate entry	2
Wikimedia permanent duplicate item	2
autodidact	2
