language_code	language	scripts_to_keep
tay	Atayal	Latin
tcy	Tulu	Kannada
te	Telugu	Telugu
tet	Tetum	Latin
tg	Tajik	Cyrillic, Arabik, Latin
tg-cyrl	Tajik in Cyrillic script	Cyrillic
tg-latn	Tajik in Latin script	Latin
th	Thai	Thai
ti	Tigrinya	Ethiopic
tk	Turkmen	Latin
tl	Tagalog	Latin
tly	Talysh	Arabic, Latin, Cyrillic
tn	Tswana	Latin
to	Tongan	Latin
tpi	Tok Pisin	Latin
tr	Turkish	Latin
tru	Turoyo	Latin
trv	Seediq	Latin
ts	Tsonga	Latin
tt	Tatar	Cyrillic, Latin
tt-cyrl	Tatar in Cyrillic script	Cyrillic
tt-latn	Tatar in Latin script	Latin
tum	Tumbuka	Latin
tw	Twi	Latin
ty	Tahitian	Latin
tyv	Tuvan	Cyrillic
tzm	Central Atlas Tamazight	Tifinagh, Arabic
udm	Udmurt	Cyrillic
ug	Uyghur	Arabic, Cyrillic, Latin
ug-arab	Uyghur in Arabic script	Arabic
ug-latn	Uyghur in Latin script	Latin
uk	Ukrainian	Cyrillic
ur	Urdu	Arabic
uz	Uzbek	Cyrillic
uz-cyrl	Uzbek in Cyrillic script	Cyrillic
uz-latn	Uzbek in Latin script	Latin
ve	Venda	Latin
vec	Venetian	Latin
vep	Veps	Latin
vi	Vietnamese	Latin
vls	West Flemish	Latin
vmf	Main-Franconian	Latin
vo	Volapük	Latin
vot	Votic	Latin, Cyrillic
wa	Walloon	Latin
war	Waray	Latin
wls	Wallisian	Latin
wo	Wolof	Latin
wuu	Wu Chinese	Han
xal	Kalmyk Oirat	Cyrillic
xh	Xhosa	Latin
xmf	Mingrelian	Georgian
xsy	Saisiyat	Latin
yi	Yiddish	Hebrew
yo	Yoruba	Latin
za	Zhuang	Han
zea	Zeelandic	Latin
zgh	Standard Moroccan Berber	Tifinagh
zh	Chinese	Han
zh-cn	Putonghua	Han
zh-hans	Simplified Chinese	Han
zh-hant	Traditional Chinese	Han
zh-hk	Chinese (Hong Kong)	Han
zh-min-nan	Southern Min	Han
zh-mo	Chinese in Macau	Han
zh-my	Malaysian Mandarin	Han
zh-sg	Singaporean Mandarin	Han
zh-tw	Standard Taiwanese Mandarin	Han
zh-tw	Taiwanese Mandarin	Han
zh-yue	Yue Chinese	Han
zh-yue	Cantonese	Han
zu	Zulu	Latin
